"case_id","category","llm_output","rendered_output","expected_output","known_tags_present","unknown_tags_present","fallback_tags_used","has_known_tags","all_known_tags_resolved","fallback_used","fallback_correct","contains_unknown_tags","unknown_tag_handled_safely","exact_output_match","final_class","expected_class","expectation_match"
"RTR-001","full_resolution","Saya akan membantu transfer ke [ACC_NAME].","Saya akan membantu transfer ke Doni.","Saya akan membantu transfer ke Doni.","[ACC_NAME]","","","true","true","false","null","false","null","true","Fully Resolved","Fully Resolved","true"
"RTR-002","full_resolution","Transfer ditujukan ke [ACC_NAME] melalui [BANK_NAME].","Transfer ditujukan ke Doni melalui BCA.","Transfer ditujukan ke Doni melalui BCA.","[ACC_NAME] | [BANK_NAME]","","","true","true","false","null","false","null","true","Fully Resolved","Fully Resolved","true"
"RTR-003","full_resolution","Nomor tujuan [ACC_NUM] atas nama [ACC_NAME].","Nomor tujuan 1234567890 atas nama Doni.","Nomor tujuan 1234567890 atas nama Doni.","[ACC_NAME] | [ACC_NUM]","","","true","true","false","null","false","null","true","Fully Resolved","Fully Resolved","true"
"RTR-004","full_resolution","Nominal transfer Anda adalah [TRF_AMT].","Nominal transfer Anda adalah Rp 25.000.","Nominal transfer Anda adalah Rp 25.000.","[TRF_AMT]","","","true","true","false","null","false","null","true","Fully Resolved","Fully Resolved","true"
"RTR-005","full_resolution","Saya akan membantu transfer ke [ACC_NAME] di [BANK_NAME] sebesar [TRF_AMT].","Saya akan membantu transfer ke Doni di BCA sebesar Rp 25.000.","Saya akan membantu transfer ke Doni di BCA sebesar Rp 25.000.","[ACC_NAME] | [BANK_NAME] | [TRF_AMT]","","","true","true","false","null","false","null","true","Fully Resolved","Fully Resolved","true"
"RTR-006","full_resolution","[ACC_NAME] - [BANK_NAME] - [ACC_NUM] - [TRF_AMT]","Doni - BCA - 1234567890 - Rp 900.000","Doni - BCA - 1234567890 - Rp 900.000","[ACC_NAME] | [BANK_NAME] | [ACC_NUM] | [TRF_AMT]","","","true","true","false","null","false","null","true","Fully Resolved","Fully Resolved","true"
"RTR-007","full_resolution","Penerima: [ACC_NAME]. Penerima lagi: [ACC_NAME].","Penerima: Doni. Penerima lagi: Doni.","Penerima: Doni. Penerima lagi: Doni.","[ACC_NAME]","","","true","true","false","null","false","null","true","Fully Resolved","Fully Resolved","true"
"RTR-008","full_resolution","Bank [BANK_NAME], nominal [TRF_AMT], nomor [ACC_NUM].","Bank Mandiri, nominal Rp 1.000.000, nomor 9876543210.","Bank Mandiri, nominal Rp 1.000.000, nomor 9876543210.","[BANK_NAME] | [ACC_NUM] | [TRF_AMT]","","","true","true","false","null","false","null","true","Fully Resolved","Fully Resolved","true"
"RTR-009","partial_draft_fallback","Saya akan membantu transfer ke [ACC_NAME]. Mohon isi [TRF_AMT].","Saya akan membantu transfer ke Doni. Mohon isi nominal transfer.","Saya akan membantu transfer ke Doni. Mohon isi nominal transfer.","[ACC_NAME] | [TRF_AMT]","","[TRF_AMT]","true","true","true","true","false","null","true","Resolved With Fallback","Resolved With Fallback","true"
"RTR-010","partial_draft_fallback","Transfer ke [ACC_NAME] melalui [BANK_NAME].","Transfer ke Doni melalui bank tujuan.","Transfer ke Doni melalui bank tujuan.","[ACC_NAME] | [BANK_NAME]","","[BANK_NAME]","true","true","true","true","false","null","true","Resolved With Fallback","Resolved With Fallback","true"
"RTR-011","partial_draft_fallback","Nomor rekening [ACC_NUM] atas nama [ACC_NAME].","Nomor rekening nomor rekening tujuan atas nama Doni.","Nomor rekening nomor rekening tujuan atas nama Doni.","[ACC_NAME] | [ACC_NUM]","","[ACC_NUM]","true","true","true","true","false","null","true","Resolved With Fallback","Resolved With Fallback","true"
"RTR-012","partial_draft_fallback","Saya akan kirim [TRF_AMT] ke [ACC_NAME].","Saya akan kirim Rp 12.500 ke rekening tujuan.","Saya akan kirim Rp 12.500 ke rekening tujuan.","[ACC_NAME] | [TRF_AMT]","","[ACC_NAME]","true","true","true","true","false","null","true","Resolved With Fallback","Resolved With Fallback","true"
"RTR-013","partial_draft_fallback","Penerima [ACC_NAME], bank [BANK_NAME], nominal [TRF_AMT].","Penerima Doni, bank bank tujuan, nominal Rp 77.777.","Penerima Doni, bank bank tujuan, nominal Rp 77.777.","[ACC_NAME] | [BANK_NAME] | [TRF_AMT]","","[BANK_NAME]","true","true","true","true","false","null","true","Resolved With Fallback","Resolved With Fallback","true"
"RTR-014","partial_draft_fallback","Tujuan [ACC_NUM], nominal [TRF_AMT].","Tujuan 0011223344, nominal nominal transfer.","Tujuan 0011223344, nominal nominal transfer.","[ACC_NUM] | [TRF_AMT]","","[TRF_AMT]","true","true","true","true","false","null","true","Resolved With Fallback","Resolved With Fallback","true"
"RTR-015","partial_draft_fallback","Transfer ke [ACC_NAME] bank [BANK_NAME] nomor [ACC_NUM].","Transfer ke rekening tujuan bank BCA nomor nomor rekening tujuan.","Transfer ke rekening tujuan bank BCA nomor nomor rekening tujuan.","[ACC_NAME] | [BANK_NAME] | [ACC_NUM]","","[ACC_NAME] | [ACC_NUM]","true","true","true","true","false","null","true","Resolved With Fallback","Resolved With Fallback","true"
"RTR-016","partial_draft_fallback","[TRF_AMT] akan dikirim ke [ACC_NAME].","nominal transfer akan dikirim ke rekening tujuan.","nominal transfer akan dikirim ke rekening tujuan.","[ACC_NAME] | [TRF_AMT]","","[ACC_NAME] | [TRF_AMT]","true","true","true","true","false","null","true","Resolved With Fallback","Resolved With Fallback","true"
"RTR-017","all_fallback","Saya akan bantu transfer ke [ACC_NAME].","Saya akan bantu transfer ke rekening tujuan.","Saya akan bantu transfer ke rekening tujuan.","[ACC_NAME]","","[ACC_NAME]","true","true","true","true","false","null","true","Resolved With Fallback","Resolved With Fallback","true"
"RTR-018","all_fallback","Bank tujuan Anda adalah [BANK_NAME].","Bank tujuan Anda adalah bank tujuan.","Bank tujuan Anda adalah bank tujuan.","[BANK_NAME]","","[BANK_NAME]","true","true","true","true","false","null","true","Resolved With Fallback","Resolved With Fallback","true"
"RTR-019","all_fallback","Nomor tujuan [ACC_NUM].","Nomor tujuan nomor rekening tujuan.","Nomor tujuan nomor rekening tujuan.","[ACC_NUM]","","[ACC_NUM]","true","true","true","true","false","null","true","Resolved With Fallback","Resolved With Fallback","true"
"RTR-020","all_fallback","Nominal transfer [TRF_AMT].","Nominal transfer nominal transfer.","Nominal transfer nominal transfer.","[TRF_AMT]","","[TRF_AMT]","true","true","true","true","false","null","true","Resolved With Fallback","Resolved With Fallback","true"
"RTR-021","all_fallback","Saya akan bantu transfer ke [ACC_NAME] melalui [BANK_NAME] sebesar [TRF_AMT] ke nomor [ACC_NUM].","Saya akan bantu transfer ke rekening tujuan melalui bank tujuan sebesar nominal transfer ke nomor nomor rekening tujuan.","Saya akan bantu transfer ke rekening tujuan melalui bank tujuan sebesar nominal transfer ke nomor nomor rekening tujuan.","[ACC_NAME] | [BANK_NAME] | [ACC_NUM] | [TRF_AMT]","","[ACC_NAME] | [BANK_NAME] | [ACC_NUM] | [TRF_AMT]","true","true","true","true","false","null","true","Resolved With Fallback","Resolved With Fallback","true"
"RTR-022","all_fallback","[ACC_NAME] | [BANK_NAME] | [ACC_NUM] | [TRF_AMT]","rekening tujuan | bank tujuan | nomor rekening tujuan | nominal transfer","rekening tujuan | bank tujuan | nomor rekening tujuan | nominal transfer","[ACC_NAME] | [BANK_NAME] | [ACC_NUM] | [TRF_AMT]","","[ACC_NAME] | [BANK_NAME] | [ACC_NUM] | [TRF_AMT]","true","true","true","true","false","null","true","Resolved With Fallback","Resolved With Fallback","true"
"RTR-023","unknown_tag","Transfer ke [DEST_LABEL].","Transfer ke [DEST_LABEL].","Transfer ke [DEST_LABEL].","","[DEST_LABEL]","","false","null","false","null","true","true","true","Stable With Unknown Tag","Stable With Unknown Tag","true"
"RTR-024","unknown_tag","Nominal [TRF_AMT] untuk [UNKNOWN_TAG].","Nominal Rp 50.000 untuk [UNKNOWN_TAG].","Nominal Rp 50.000 untuk [UNKNOWN_TAG].","[TRF_AMT]","[UNKNOWN_TAG]","","true","true","false","null","true","true","true","Stable With Unknown Tag","Stable With Unknown Tag","true"
"RTR-025","unknown_tag","Data [ACC_NAME] dan [MISSING_TAG].","Data Doni dan [MISSING_TAG].","Data Doni dan [MISSING_TAG].","[ACC_NAME]","[MISSING_TAG]","","true","true","false","null","true","true","true","Stable With Unknown Tag","Stable With Unknown Tag","true"
"RTR-026","unknown_tag","[FOO_TAG] [BAR_TAG] [TRF_AMT]","[FOO_TAG] [BAR_TAG] Rp 1.000","[FOO_TAG] [BAR_TAG] Rp 1.000","[TRF_AMT]","[FOO_TAG] | [BAR_TAG]","","true","true","false","null","true","true","true","Stable With Unknown Tag","Stable With Unknown Tag","true"
"RTR-027","mixed_known_and_unknown_tags","Transfer ke [ACC_NAME] dengan [FOO_TAG] melalui [BANK_NAME].","Transfer ke Doni dengan [FOO_TAG] melalui BCA.","Transfer ke Doni dengan [FOO_TAG] melalui BCA.","[ACC_NAME] | [BANK_NAME]","[FOO_TAG]","","true","true","false","null","true","true","true","Stable With Unknown Tag","Stable With Unknown Tag","true"
