"case_id","category","tokenization_elapsed_microseconds","tokenization_elapsed_milliseconds","input_text","sanitized_text","detected_numbers","tokens","parse_statuses","parse_reasons","numeric_values","has_numeric_input","sanitization_success","normalization_success","clarification_required","security_leak_detected","final_class","expected_class","expectation_match"
"SAN-001","plain_integer","4585","4.585000","Transfer 25000 ke Doni","Transfer [token: x68hczcn] ke Doni","25000","x68hczcn","valid","plain_integer","25000.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-002","plain_integer","38","0.038000","Saya ingin transfer 100000 sekarang","Saya ingin transfer [token: dj5uvryq] sekarang","100000","dj5uvryq","valid","plain_integer","100000.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-003","multi_number_input","27","0.027000","Transfer 25000 ke rekening 1234567890 milik Doni","Transfer [token: txz7dg7z] ke rekening [token: cg42olok] milik Doni","25000 | 1234567890","txz7dg7z | cg42olok","valid | valid","plain_integer | plain_integer","25000.0 | 1234567890.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-004","multi_number_input","34","0.034000","Kirim 50000 ke 9876543210 hari ini jam 9","Kirim [token: uep118rr] ke [token: 1t3vcuus] hari ini jam [token: 94ar7ffn]","50000 | 9876543210 | 9","uep118rr | 1t3vcuus | 94ar7ffn","valid | valid | valid","plain_integer | plain_integer | plain_integer","50000.0 | 9876543210.0 | 9.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-005","decimal_input","93","0.093000","Transfer 10.5 juta ke Doni","Transfer [token: 03iby5a9] juta ke Doni","10.5","03iby5a9","valid","decimal_separator_supported","10.5","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-006","decimal_input","220","0.220000","Transfer 25,5 ke rekening Doni","Transfer [token: nu8wgoht] ke rekening Doni","25,5","nu8wgoht","valid","decimal_separator_supported","25.5","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-007","unsupported_numeric_format","27","0.027000","Transfer 15.000 ke Doni","Transfer [token: e1hpj93h] ke Doni","15.000","e1hpj93h","unsupported_format","thousands_separator_not_supported","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-008","unsupported_numeric_format","15","0.015000","Transfer 1,234 ke Doni","Transfer [token: hc6fyohi] ke Doni","1,234","hc6fyohi","unsupported_format","thousands_separator_not_supported","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-009","multiple_separators","12","0.012000","Transfer 1.234,56 ke Doni","Transfer [token: x5xhhjxx] ke Doni","1.234,56","x5xhhjxx","unsupported_format","multiple_separators_not_supported","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-010","multiple_separators","11","0.011000","Transfer 1,234.56 ke Doni","Transfer [token: x68hczcn] ke Doni","1,234.56","x68hczcn","unsupported_format","multiple_separators_not_supported","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
