id,category,style,expected_action,actual_action,expected_name,actual_name,expected_address,actual_address,passed,parse_error
CAT1_FORMAL_1,transfer_instruction_name,formal,search_account_by_name,search_account_by_name,[token-ent: 101],[token-ent: 101],,,true,
CAT1_FORMAL_2,transfer_instruction_name,formal,search_account_by_name,search_account_by_name,[token-ent: 102],[token-ent: 102],,,true,
CAT1_FORMAL_3,transfer_instruction_name,formal,search_account_by_name,search_account_by_name,[token-ent: 103],[token-ent: 103],,,true,
CAT1_FORMAL_4,transfer_instruction_name,formal,search_account_by_name,search_account_by_name,[token-ent: 104],[token-ent: 104],,,true,
CAT1_FORMAL_5,transfer_instruction_name,formal,search_account_by_name,search_account_by_name,[token-ent: 105],[token-ent: 105],,,true,
CAT1_NOISY_1,transfer_instruction_name,noisy,search_account_by_name,search_account_by_name,[token-ent: 106],[token-ent: 106],,,true,
CAT1_NOISY_2,transfer_instruction_name,noisy,search_account_by_name,search_account_by_name,[token-ent: 107],[token-ent: 107],,,true,
CAT1_NOISY_3,transfer_instruction_name,noisy,search_account_by_name,search_account_by_name,[token-ent: 108],[token-ent: 108],,,true,
CAT1_NOISY_4,transfer_instruction_name,noisy,search_account_by_name,search_account_by_name,[token-ent: 109],[token-ent: 109],,,true,
CAT1_NOISY_5,transfer_instruction_name,noisy,search_account_by_name,search_account_by_name,[token-ent: 110],[token-ent: 110],,,true,
CAT2_FORMAL_1,electric_payment_name,formal,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 201],[token-ent: 201],,,true,
CAT2_FORMAL_2,electric_payment_name,formal,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 202],[token-ent: 202],,,true,
CAT2_FORMAL_3,electric_payment_name,formal,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 203],[token-ent: 203],,,true,
CAT2_FORMAL_4,electric_payment_name,formal,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 204],[token-ent: 204],,,true,
CAT2_FORMAL_5,electric_payment_name,formal,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 205],[token-ent: 205],,,true,
CAT2_NOISY_1,electric_payment_name,noisy,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 206],[token-ent: 206],,,true,
CAT2_NOISY_2,electric_payment_name,noisy,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 207],[token-ent: 207],,,true,
CAT2_NOISY_3,electric_payment_name,noisy,search_cust_id_by_name,needs_confirmation,[token-ent: 208],,,,false,
CAT2_NOISY_4,electric_payment_name,noisy,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 209],[token-ent: 209],,,true,
CAT2_NOISY_5,electric_payment_name,noisy,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 210],[token-ent: 210],,,true,
CAT3_FORMAL_1,electric_payment_address,formal,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 301],[token-ent: 301],true,
CAT3_FORMAL_2,electric_payment_address,formal,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 302],[token-ent: 302],true,
CAT3_FORMAL_3,electric_payment_address,formal,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 303],[token-ent: 303],true,
CAT3_FORMAL_4,electric_payment_address,formal,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 304],[token-ent: 304],true,
CAT3_FORMAL_5,electric_payment_address,formal,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 305],[token-ent: 305],true,
CAT3_NOISY_1,electric_payment_address,noisy,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 306],[token-ent: 306],true,
CAT3_NOISY_2,electric_payment_address,noisy,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 307],[token-ent: 307],true,
CAT3_NOISY_3,electric_payment_address,noisy,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 308],[token-ent: 308],true,
CAT3_NOISY_4,electric_payment_address,noisy,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 309],[token-ent: 309],true,
CAT3_NOISY_5,electric_payment_address,noisy,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 310],[token-ent: 310],true,
CAT4_FORMAL_1,electric_payment_name_address,formal,search_cust_id_by_name_and_address,search_cust_id_by_name_and_address,[token-ent: 401],[token-ent: 401],[token-ent: 402],[token-ent: 402],true,
CAT4_FORMAL_2,electric_payment_name_address,formal,search_cust_id_by_name_and_address,search_cust_id_by_name_and_address,[token-ent: 403],[token-ent: 403],[token-ent: 404],[token-ent: 404],true,
CAT4_FORMAL_3,electric_payment_name_address,formal,search_cust_id_by_name_and_address,search_cust_id_by_name_and_address,[token-ent: 405],[token-ent: 405],[token-ent: 406],[token-ent: 406],true,
CAT4_FORMAL_4,electric_payment_name_address,formal,search_cust_id_by_name_and_address,search_cust_id_by_name_and_address,[token-ent: 407],[token-ent: 407],[token-ent: 408],[token-ent: 408],true,
CAT4_FORMAL_5,electric_payment_name_address,formal,search_cust_id_by_name_and_address,search_cust_id_by_name_and_address,[token-ent: 409],[token-ent: 409],[token-ent: 410],[token-ent: 410],true,
CAT4_NOISY_1,electric_payment_name_address,noisy,search_cust_id_by_name_and_address,search_cust_id_by_name_and_address,[token-ent: 411],[token-ent: 411],[token-ent: 412],[token-ent: 412],true,
CAT4_NOISY_2,electric_payment_name_address,noisy,search_cust_id_by_name_and_address,search_cust_id_by_name_and_address,[token-ent: 413],[token-ent: 413],[token-ent: 414],[token-ent: 414],true,
CAT4_NOISY_3,electric_payment_name_address,noisy,search_cust_id_by_name_and_address,needs_confirmation,[token-ent: 415],,[token-ent: 416],[token-ent: 416],false,
CAT4_NOISY_4,electric_payment_name_address,noisy,search_cust_id_by_name_and_address,search_cust_id_by_name_and_address,[token-ent: 417],[token-ent: 417],[token-ent: 418],[token-ent: 418],true,
CAT4_NOISY_5,electric_payment_name_address,noisy,search_cust_id_by_name_and_address,search_cust_id_by_name_and_address,[token-ent: 419],[token-ent: 419],[token-ent: 420],[token-ent: 420],true,
CAT5_FORMAL_1,short_reply_transfer_name,formal,search_account_by_name,search_account_by_name,[token-ent: 501],[token-ent: 501],,,true,
CAT5_FORMAL_2,short_reply_transfer_name,formal,search_account_by_name,search_account_by_name,[token-ent: 502],[token-ent: 502],,,true,
CAT5_FORMAL_3,short_reply_transfer_name,formal,search_account_by_name,search_account_by_name,[token-ent: 503],[token-ent: 503],,,true,
CAT5_FORMAL_4,short_reply_transfer_name,formal,search_account_by_name,search_account_by_name,[token-ent: 504],[token-ent: 504],,,true,
CAT5_FORMAL_5,short_reply_transfer_name,formal,search_account_by_name,needs_confirmation,[token-ent: 505],,,,false,
CAT5_NOISY_1,short_reply_transfer_name,noisy,search_account_by_name,search_account_by_name,[token-ent: 506],[token-ent: 506],,,true,
CAT5_NOISY_2,short_reply_transfer_name,noisy,search_account_by_name,search_account_by_name,[token-ent: 507],[token-ent: 507],,,true,
CAT5_NOISY_3,short_reply_transfer_name,noisy,search_account_by_name,search_account_by_name,[token-ent: 508],[token-ent: 508],,,true,
CAT5_NOISY_4,short_reply_transfer_name,noisy,search_account_by_name,search_account_by_name,[token-ent: 509],[token-ent: 509],,,true,
CAT5_NOISY_5,short_reply_transfer_name,noisy,search_account_by_name,search_account_by_name,[token-ent: 510],[token-ent: 510],,,true,
CAT6_FORMAL_1,short_reply_electric_name,formal,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 601],[token-ent: 601],,,true,
CAT6_FORMAL_2,short_reply_electric_name,formal,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 602],[token-ent: 602],,,true,
CAT6_FORMAL_3,short_reply_electric_name,formal,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 603],[token-ent: 603],,,true,
CAT6_FORMAL_4,short_reply_electric_name,formal,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 604],[token-ent: 604],,,true,
CAT6_FORMAL_5,short_reply_electric_name,formal,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 605],[token-ent: 605],,,true,
CAT6_NOISY_1,short_reply_electric_name,noisy,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 606],[token-ent: 606],,,true,
CAT6_NOISY_2,short_reply_electric_name,noisy,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 607],[token-ent: 607],,,true,
